震度計番号,震度観測点名称,x,y,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm]
"47002",広尾町白樺通,,,1,5.275,5.865,2.751,5.945,0.246,0.432,0.379,0.481,0.097,0.158,0.154,0.188
"47440",広尾町並木通,,,2,4.017,4.599,2.848,5.374,0.323,0.485,0.375,0.499,0.128,0.153,0.154,0.187
"42110",弟子屈町美里,,,2,3.923,4.043,3.941,4.923,0.368,0.615,0.204,0.633,0.139,0.211,0.069,0.221
"47001",浜中町湯沸,,,1,4.737,5.207,1.358,5.825,0.269,0.208,0.189,0.31,0.096,0.066,0.077,0.097
"47220",釧路市音別町尺別,,,2,4.741,3.373,2.271,4.858,0.443,0.449,0.211,0.52,0.174,0.183,0.084,0.232
"47222",厚岸町尾幌,,,1,3.722,3.687,1.795,4.495,0.246,0.386,0.288,0.45,0.114,0.174,0.129,0.196
"47418",釧路市幸町,,,2,7.297,6.401,2.32,7.665,0.385,0.346,0.137,0.433,0.121,0.089,0.062,0.14
"47041",標津町古多糠,,,1,2.773,2.714,1.586,2.928,0.297,0.243,0.25,0.302,0.115,0.111,0.074,0.116
"47221",中標津町養老牛,,,1,6.251,5.645,1.716,7.114,0.192,0.186,0.061,0.194,0.033,0.037,0.026,0.042
"47224",羅臼町春日,,,1,1.745,2.117,0.7,2.202,0.112,0.108,0.077,0.116,0.035,0.035,0.028,0.046
"42111",別海町常盤,,,2,8.403,8.93,3.834,9.495,0.636,0.492,0.29,0.638,0.269,0.284,0.139,0.309
"47360",根室市豊里,,,1,2.545,2.017,1.12,2.667,0.122,0.099,0.075,0.145,0.027,0.029,0.018,0.034
"47420",根室市弥栄,,,1,2.513,2.325,1.12,2.693,0.131,0.149,0.076,0.161,0.025,0.036,0.02,0.044
"42201",平内町小湊,,,3,13.563,19.81,5.293,20.062,1.371,1.727,0.742,1.903,0.455,0.567,0.231,0.727
"47229",五所川原市太田,,,2,4.115,2.912,1.706,4.174,0.668,0.606,0.397,0.813,0.184,0.259,0.151,0.292
"42202",鰺ヶ沢町本町,,,2,3.632,4.372,3.016,4.772,0.921,1.194,0.646,1.458,0.451,0.621,0.197,0.709
"47231",深浦町長慶平,,,2,3.303,3.57,1.64,3.746,0.506,0.795,0.384,0.933,0.217,0.383,0.168,0.427
"47574",深浦町深浦岡町,,,2,3.544,5.146,2.01,5.593,0.694,1.065,0.459,1.078,0.264,0.539,0.171,0.555
"42203",六ヶ所村尾駮,,,3,10.798,8.936,5.804,12.34,1.334,1.034,0.852,1.464,0.424,0.309,0.176,0.44
"47008",六ヶ所村出戸,,,2,6.232,6.511,2.96,6.918,0.683,0.882,0.403,0.976,0.203,0.223,0.109,0.26
"47230",七戸町北天間舘,,,2,3.698,4.942,2.455,5.185,0.539,0.977,0.376,1.032,0.159,0.547,0.157,0.563
"47351",八戸市島守,,,3,15.415,20.949,5.335,20.98,0.999,1.545,0.608,1.604,0.245,0.465,0.195,0.502
"47581",八戸市湊町,,,3,32.438,36.339,19.188,39.826,1.049,1.425,0.774,1.512,0.16,0.31,0.208,0.312
"47228",むつ市大畑町奥薬研,,,2,3.22,3.601,1.951,3.671,0.445,0.445,0.326,0.475,0.2,0.241,0.14,0.247
"42208",山田町八幡町,,,4,64.172,51.323,33.417,64.219,2.091,2.116,1.215,2.324,0.187,0.324,0.276,0.346
"42209",岩手洋野町種市,,,3,34.889,26.157,17.228,36.305,2.143,1.813,1.249,2.244,0.268,0.332,0.281,0.441
"47236",田野畑村田野畑,,,3,32.349,34.096,15.304,36.481,1.315,1.357,1.048,1.61,0.259,0.436,0.381,0.589
"47376",宮古市長沢,,,3,34.077,42.965,15.543,53.357,1.392,1.613,0.812,1.722,0.28,0.5,0.245,0.539
"47585",宮古市鍬ヶ崎,,,3,42.728,70.024,21.567,73.953,1.498,1.733,0.865,1.878,0.165,0.354,0.229,0.376
"41205",釜石市只越町,,,4,91.917,122.739,34.822,123.242,1.907,2.325,1.732,2.453,0.214,0.341,0.288,0.425
"47238",大船渡市猪川町,,,4,215.58,184.74,49.208,217.514,3.183,2.452,1.703,3.422,0.383,0.429,0.45,0.543
"47512",大船渡市大船渡町,,,4,97.173,127.36,32.377,139.524,3.219,4.059,1.618,4.623,0.336,0.59,0.376,0.626
"47584",盛岡市山王町,,,4,86.057,73.045,27.831,91.899,4.487,5.221,1.029,5.516,0.413,0.568,0.251,0.604
"42207",一関市大東町,,,4,119.083,130.66,49.809,161.393,3.693,3.903,1.308,4.107,0.454,0.566,0.404,0.586
"47237",花巻市大迫町,,,4,72.669,81.387,22.161,83.143,2.028,3.449,1.07,3.701,0.279,0.452,0.328,0.493
"47012",気仙沼市本吉町西川内,,,4,111.997,109.209,32.219,122.804,2.111,3.117,1.432,3.167,0.524,0.656,0.434,0.686
"42217",五城目町西磯ノ目,,,3,18.496,16.01,4.343,21.248,1.659,1.959,0.736,1.981,0.496,0.506,0.269,0.602
"47233",男鹿市男鹿中,,,2,4.636,6.883,2.407,7.209,1.225,1.141,0.429,1.358,0.654,0.414,0.192,0.701
"47232",大館市比内町味噌内,,,3,6.96,7.36,4.433,9.134,1.01,1.884,0.906,2.024,0.295,0.631,0.341,0.681
"47234",秋田美郷町六郷東根,,,3,23.466,29.623,20.694,32.008,2.773,2.666,2.088,3.582,0.622,0.657,0.533,0.818
"47241",鶴岡市温海川,,,3,25.591,29.202,13.361,29.385,2.805,2.608,1.24,3.082,0.464,0.804,0.418,0.84
"47249",酒田市飛島,,,2,4.547,5.553,5.845,6.878,0.721,1.061,0.642,1.246,0.314,0.277,0.177,0.355
"42223",南会津町田島,,,4,26.376,36.809,14.078,38.099,2.286,3.12,1.129,3.327,0.436,0.527,0.301,0.558
"47248",柳津町大成沢,,,3,37.577,23.735,14.304,38.033,1.859,1.39,0.947,1.935,0.478,0.366,0.341,0.491
"47019",ひたちなか市山ノ上町,,,4,67.481,42.948,29.642,68.246,3.065,1.797,0.796,3.084,0.312,0.279,0.221,0.341
"47259",常陸太田市町屋町,,,4,118.563,130.476,32.635,146.969,2.346,2.698,1.314,2.875,0.261,0.344,0.42,0.538
"47628",石岡市柿岡,,,4,105.531,113.753,99.361,128.796,5.481,4.695,2.781,5.749,0.6,0.589,0.331,0.76
"47690",日光市中宮祠,,,3,13.928,15.385,8.65,17.562,0.891,1.023,0.7,1.247,0.208,0.272,0.231,0.296
"41304",栃木市旭町,,,4,89.229,66.388,19.36,97.402,2.127,2.349,0.982,2.717,0.38,0.282,0.205,0.455
"42306",益子町益子,,,4,45.065,70.521,19.562,79.067,2.424,4.139,1.239,4.375,0.337,0.442,0.285,0.5
"41305",沼田市西倉内町,,,3,32.628,39.905,19.943,46.681,2.055,2.461,1.02,2.713,0.586,0.375,0.242,0.613
