震度計番号,震度観測点名称,緯度,経度,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm],地域名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
47287,三宅村坪田,34.0605,139.5478,2,7.755,7.825,5.235,9.415,0.348,0.377,0.196,0.417,0.166,0.149,0.076,0.193,三宅島,三宅村坪田3007（三宅村坪田福祉会館）,34,3.6,139,32.9,201607281200,
47677,三宅村神着,34.1237,139.5214,2,8.356,8.127,5.831,8.681,0.405,0.403,0.175,0.44,0.098,0.125,0.079,0.135,三宅島,三宅村神着74（三宅島特別地域気象観測所）,34,7.4,139,31.3,201502191200,
47026,青ヶ島村,32.4637,139.7638,2,3.732,3.181,2.006,4.221,0.337,0.338,0.107,0.389,0.083,0.098,0.042,0.102,八丈島,青ヶ島村無番地（向沢浄水場）,32,27.8,139,45.8,201207031200,
47377,八丈町樫立,33.0723,139.7976,1,3.623,2.447,1.357,3.847,0.178,0.159,0.11,0.183,0.08,0.056,0.045,0.08,八丈島,八丈町樫立2035（旧八丈町立樫立小学校）,33,4.3,139,47.9,200904011200,
47678,八丈町三根,33.1136,139.792,2,4.962,8.11,3.921,8.265,0.309,0.357,0.206,0.409,0.152,0.099,0.055,0.184,八丈島,八丈町三根26（八丈町コミュニティセンター）,33,6.8,139,47.5,201003311300,
47289,小笠原村父島三日月山,27.0958,142.1846,1,0.88,1.374,0.54,1.394,0.063,0.079,0.037,0.084,0.012,0.017,0.009,0.018,小笠原,小笠原村父島字西町,27,5.7,142,11.1,199407151200,
47363,小笠原村母島,26.6329,142.1757,1,1.625,1.398,0.74,1.81,0.094,0.086,0.035,0.095,0.01,0.014,0.01,0.015,小笠原,小笠原村母島字中ノ平80,26,38.0,142,10.5,201303271200,
47264,横須賀市光の丘,35.2269,139.6629,3,15.178,18.067,7.914,19.019,1.108,1.308,0.849,1.515,0.577,0.483,0.357,0.66,神奈川県東部,横須賀市光の丘1-1（ＮＴＴ総合研究所）,35,13.6,139,39.8,199407151200,
42315,湯河原町中央,35.1479,139.1082,4,23.81,40.26,13.67,41.297,2.708,3.379,0.755,3.613,0.343,0.643,0.21,0.647,神奈川県西部,足柄下郡湯河原町中央2-2-1(湯河原町役場),35,8.9,139,6.5,201203281200,
47045,相模原緑区若柳,35.6019,139.2085,2,7.104,6.335,3.463,7.847,0.826,1.062,0.461,1.188,0.258,0.266,0.228,0.429,神奈川県西部,相模原市緑区若柳1432-2（相模湖林間公園）,35,36.1,139,12.5,201307301200,
