地域名称,震度観測点名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
鹿児島県屋久島,屋久島町口永良部島池田,熊毛郡屋久島町口永良部島656（金岳小学校）,30,27.9,130,11.6,199407151200,
鹿児島県屋久島,屋久島町平内,熊毛郡屋久島町平内442-1,30,14.3,130,30.6,201003311300,
鹿児島県奄美北部,瀬戸内町西古見,鹿児島県大島郡瀬戸内町大字西古見字オフタ360-2（西古見小中学校跡地）,28,14.6,129,10.5,200904011200,
鹿児島県奄美北部,龍郷町屋入,大島郡龍郷町屋入字崎田原281-1,28,24.9,129,36.2,199407151200,
鹿児島県奄美北部,喜界町滝川,大島郡喜界町滝川1203,28,19.1,129,58.2,199407151200,
鹿児島県奄美北部,奄美市名瀬港町,奄美市名瀬港町8-1（名瀬測候所）,28,22.8,129,29.8,189701      ,
鹿児島県奄美北部,奄美市笠利町里（臨時）,奄美市笠利町大字里365（赤木名中学校）,28,27.2,129,40.7,201211151600,201301071200
鹿児島県奄美南部,天城町当部,大島郡天城町当部字大井久479,27,47.4,128,56.9,199407151200,
鹿児島県奄美南部,和泊町国頭,大島郡和泊町国頭字手付4414-3（沖永良部特別地域気象観測所）,27,26.0,128,42.3,19530101    ,
鹿児島県奄美南部,知名町瀬利覚,大島郡知名町大字瀬利覚字上山田3196-3,27,21.7,128,34.2,201003311300,
鹿児島県奄美南部,与論町麦屋,大島郡与論町麦屋909-1（上城遺跡公園）,27,1.5,128,27.0,201207031200,
沖縄県本島北部,名護市宮里,名護市字宮里452-3（名護特別地域気象観測所）,26,35.7,127,58.0,1972        ,
沖縄県本島北部,名護市豊原,名護市豊原195-3,26,31.1,128,1.3,201003311300,
沖縄県本島北部,国頭村奥,国頭郡国頭村字奥2222-4,26,50.2,128,16.3,199407151200,
沖縄県本島北部,粟国村浜,島尻郡粟国村字浜4550（粟国空港）,26,35.6,127,14.4,200007181200,
沖縄県本島北部,伊平屋村我喜屋,島尻郡伊平屋村字我喜屋300（伊平屋村離島振興総合センター）,27,2.3,127,57.9,199407151200,
沖縄県本島中南部,那覇市樋川,那覇市樋川1-15-15（沖縄気象台）,26,12.5,127,41.2,18900701    ,
沖縄県本島中南部,那覇空港,那覇市安次嶺531-3（那覇空港）,26,12.3,127,39.0,200707021200,
沖縄県本島中南部,読谷村波平,中頭郡読谷村字波平37,26,24.4,127,44.0,199604011200,199712191400
沖縄県本島中南部,読谷村座喜味,中頭郡読谷村字座喜味2901（読谷村役場）,26,23.8,127,44.7,199712191400,
沖縄県本島中南部,座間味村座間味小中学校,島尻郡座間味村座間味943（座間味小中学校）,26,13.8,127,18.2,201211151600,201303261200
沖縄県本島中南部,南城市玉城前川,南城市玉城字前川浮花原213（沖縄ワールド（文化王国玉泉洞））,26,8.5,127,44.8,199407151200,201203241200
